level,state,district,date,income_mean,income_median,expenditure_mean,income_minus_expenditure,income_to_expenditure_ratio,poverty,gini,headline_inflation,unemployment_rate,real_gdp_rm_billion,largest_sector,income_group,income_group_mean,income_group_vs_national_mean
state,Johor,,2024-01-01,9484.0,7712.0,5927.0,1785.0,1.301,2.5,0.348,2.1,2.34,170.947,Services,,,
state,Kedah,,2024-01-01,5793.0,4895.0,4028.0,867.0,1.215,8.4,0.334,2.3,2.54,56.303,Services,,,
state,Kelantan,,2024-01-01,5265.0,4083.0,3825.0,258.0,1.067,11.5,0.356,0.9,3.58,29.776,Services,,,
state,Melaka,,2024-01-01,8686.0,6891.0,6212.0,679.0,1.109,3.0,0.337,1.8,1.6,50.286,Services,,,
state,Negeri Sembilan,,2024-01-01,7305.0,5591.0,5115.0,476.0,1.093,4.0,0.343,2.5,3.16,55.767,Services,,,
state,Pahang,,2024-01-01,6066.0,4975.0,4368.0,607.0,1.139,5.9,0.319,2.3,2.02,70.962,Services,,,
state,Perak,,2024-01-01,6173.0,4687.0,4232.0,455.0,1.108,6.9,0.298,1.2,3.57,91.529,Services,,,
state,Perlis,,2024-01-01,5996.0,4950.0,4084.0,866.0,1.212,3.6,0.334,1.3,,6.676,Services,,,
state,Pulau Pinang,,2024-01-01,9152.0,7386.0,5850.0,1536.0,1.263,1.9,0.311,1.6,2.0,130.283,Manufacturing,,,
state,Sabah,,2024-01-01,6498.0,4890.0,3547.0,1343.0,1.379,17.7,0.405,1.9,7.56,88.774,Services,,,
state,Sarawak,,2024-01-01,6947.0,5504.0,4281.0,1223.0,1.286,8.4,0.361,0.3,3.34,153.511,Services,,,
state,Selangor,,2024-01-01,13296.0,10726.0,7266.0,3460.0,1.476,0.9,0.332,1.8,2.28,460.114,Services,,,
state,Terengganu,,2024-01-01,7627.0,6627.0,5219.0,1408.0,1.27,5.8,0.263,1.8,3.09,40.597,Services,,,
state,W.P. Kuala Lumpur,,2024-01-01,13985.0,10802.0,8178.0,2624.0,1.321,1.0,0.375,2.2,,265.104,Services,,,
state,W.P. Labuan,,2024-01-01,8555.0,7383.0,4497.0,2886.0,1.642,2.0,0.327,2.0,,8.7,Services,,,
state,W.P. Putrajaya,,2024-01-01,13846.0,10769.0,9186.0,1583.0,1.172,0.2,0.324,1.8,,14.366,Services,,,
district,Johor,Batu Pahat,2024-01-01,9006.0,7555.0,5153.0,2402.0,1.466,2.4,0.316,,,,,,,
district,Johor,Johor Bahru,2024-01-01,10975.0,8977.0,6764.0,2213.0,1.327,1.9,0.35,,,,,,,
district,Johor,Kluang,2024-01-01,6616.0,6158.0,4748.0,1410.0,1.297,5.7,0.292,,,,,,,
district,Johor,Kota Tinggi,2024-01-01,8106.0,6284.0,4949.0,1335.0,1.27,4.2,0.379,,,,,,,
district,Johor,Kulai,2024-01-01,10296.0,8406.0,6254.0,2152.0,1.344,0.1,0.319,,,,,,,
district,Johor,Mersing,2024-01-01,6014.0,5335.0,4274.0,1061.0,1.248,6.7,0.263,,,,,,,
district,Johor,Muar,2024-01-01,8401.0,7334.0,5541.0,1793.0,1.324,2.1,0.306,,,,,,,
district,Johor,Pontian,2024-01-01,7011.0,5685.0,4856.0,829.0,1.171,2.0,0.341,,,,,,,
district,Johor,Segamat,2024-01-01,7348.0,6451.0,4870.0,1581.0,1.325,3.1,0.292,,,,,,,
district,Johor,Tangkak,2024-01-01,7524.0,6374.0,4673.0,1701.0,1.364,4.0,0.306,,,,,,,
district,Kedah,Baling,2024-01-01,4345.0,3367.0,3041.0,326.0,1.107,14.7,0.324,,,,,,,
district,Kedah,Bandar Baharu,2024-01-01,4835.0,4310.0,3006.0,1304.0,1.434,5.8,0.339,,,,,,,
district,Kedah,Kota Setar,2024-01-01,6034.0,5208.0,4495.0,713.0,1.159,5.5,0.328,,,,,,,
district,Kedah,Kuala Muda,2024-01-01,5729.0,4953.0,3869.0,1084.0,1.28,11.8,0.333,,,,,,,
district,Kedah,Kubang Pasu,2024-01-01,6313.0,5312.0,4478.0,834.0,1.186,4.0,0.317,,,,,,,
district,Kedah,Kulim,2024-01-01,6395.0,5236.0,4054.0,1182.0,1.292,8.5,0.349,,,,,,,
district,Kedah,Langkawi,2024-01-01,6278.0,5083.0,4356.0,727.0,1.167,6.0,0.335,,,,,,,
district,Kedah,Padang Terap,2024-01-01,5062.0,3954.0,3872.0,82.0,1.021,8.0,0.292,,,,,,,
district,Kedah,Pendang,2024-01-01,5464.0,4592.0,3914.0,678.0,1.173,7.3,0.347,,,,,,,
district,Kedah,Pokok Sena,2024-01-01,5736.0,5163.0,4257.0,906.0,1.213,7.2,0.27,,,,,,,
district,Kedah,Sik,2024-01-01,5107.0,4438.0,3675.0,763.0,1.208,8.7,0.325,,,,,,,
district,Kedah,Yan,2024-01-01,5272.0,4695.0,3859.0,836.0,1.217,7.4,0.293,,,,,,,
district,Kelantan,Bachok,2024-01-01,5149.0,4187.0,3579.0,608.0,1.17,11.3,0.349,,,,,,,
district,Kelantan,Gua Musang,2024-01-01,4684.0,3871.0,3726.0,145.0,1.039,16.3,0.302,,,,,,,
district,Kelantan,Jeli,2024-01-01,3829.0,3008.0,3062.0,-54.0,0.982,10.1,0.315,,,,,,,
